topic_idx,mean_delta,ci_5,ci_95,p_tau_gt_c,OR_tau,OR_c,OR_tau_ci_5,OR_tau_ci_95,OR_c_ci_5,OR_c_ci_95,topic,tau_strong,c_strong,conviction_clear,persuasion_clear,clear_direction,class
11,-0.2030223774916525,-1.1277894670000002,0.6714512049999999,0.36175,9048.480089795,8.016644143805836,2.3617277077671868,15760.488233882494,2.328102524746013,19.84318449266892,estate tax,True,True,False,False,False,jointly-driven
12,-0.42283620555171125,-1.1156646266999999,0.2506076589999996,0.1605,5.362478478301549,3.0063590286717456,0.23821421103590823,20.29733452224033,0.9904653610674318,6.715302268476334,european union,False,False,False,False,False,indeterminate
13,-0.4922534350925,-0.683256294,-0.3056142375,0.00025,22.653960678996985,5.532472570178019,9.491952610697455,43.70875640467994,4.274494431594247,7.056737299315363,euthanasia,True,True,False,True,True,persuasiveness-driven
14,-0.7559121987877917,-1.21484988785,-0.31656289800000026,0.002,5.286225533170755,5.086526730701488,0.5853943048858875,17.28211789049844,2.9138293625748846,8.249868776410016,federal reserve,False,True,False,True,True,persuasiveness-only
15,-0.07198475727833752,-0.8460077195,0.6779183735,0.4395,59.1403802402954,2.860312324418357,0.7031207427308682,206.8026521215718,0.9221022096748932,6.4234384882530655,flat tax,False,False,False,False,False,indeterminate
16,-1.3447926511773645,-1.7159050695,-0.9829195335000002,0.0,1.1219230311884754,8.53712846586022,0.17082330429288306,3.414119236603014,5.709672111694052,12.465559450646559,free trade,False,True,False,True,True,persuasiveness-only
17,-0.187512813205,-0.264289822,-0.10876432049999998,0.0,85.3589791502433,5.064876631664253,61.98679280382727,114.7693801879477,4.601773187625885,5.558084136532562,gay marriage,True,True,False,True,True,persuasiveness-driven
18,-0.9254973628407499,-1.072713702,-0.7825395964999999,0.0,5.2834456513725945,7.38177217086526,2.893790281512132,8.674441826207598,6.148274540520337,8.822721890798249,global warming exists,True,True,False,True,True,persuasiveness-driven
19,-1.0372158676913086,-1.4531163483,-0.6330479870000001,0.0,4.404201965214048,7.667210852144882,0.5811363646236303,13.558677962874702,4.786083363524834,11.669264145604126,globalization,False,True,False,True,True,persuasiveness-only
20,0.3200045459103275,-0.7970614949999999,1.3737479105,0.69925,523979.86999134824,12.211045632595278,131.73863206093625,349015.26199170644,1.9024026964989411,36.73328498005159,gold standard,True,True,False,False,False,jointly-driven
21,-0.5048737601975,-0.6382796655,-0.374526576,0.0,7.1406620144439605,4.069711047048912,4.3175510254415705,10.802696152132354,3.4225593436642394,4.809357133981552,gun rights,True,True,False,True,True,persuasiveness-driven
22,-0.2545120552355,-0.5244676604999999,0.009915739999999746,0.05675,14.648253559181033,3.209126950276129,4.044009208696454,34.53868829322299,2.3248861842461808,4.3091850230799125,homeschooling,True,True,False,False,False,jointly-driven
23,-0.9971442991093177,-1.19293104345,-0.8035443565000001,0.0,1.682696783218411,5.803843658307791,0.6513582981148482,3.4492915079525823,4.607816315295273,7.263914982220668,internet censorship,False,True,False,True,True,persuasiveness-only
24,-0.14791843499235974,-1.5973503139999998,1.2392907805,0.43275,62.10438928997607,4.170481468956896,0.0718290489945625,198.4659571700848,0.2580282645956216,14.895932963860744,iran-iraq war,False,False,False,False,False,indeterminate
25,-0.7523579400652981,-1.3884131204999999,-0.14459101400000035,0.01975,6.069727263968866,4.934837368693835,0.24427508796370856,24.140301395661595,2.151009302363739,9.600690307099704,labor union,False,True,False,True,True,persuasiveness-only
26,-0.19563618903999996,-0.5471789595,0.15263846149999993,0.191,324.58809145782686,6.802454569181804,40.0547671057774,1027.525880380228,4.5563261432757285,9.795662800822107,legalized prostitution,True,True,False,False,False,jointly-driven
27,0.6705859621523309,-0.8842297764999999,2.2234891641499988,0.7545,318159.2029435142,3.2536605055263936,0.6338067191362293,146431.08658477518,0.2813752949020944,10.60154144951559,medicaid & medicare,False,False,False,False,False,indeterminate
28,-0.24311534633025003,-0.5971856000000001,0.10627478299999983,0.1255,21.410585245077062,3.4891906482041732,4.265234617530981,58.71141506714477,2.188743927943174,5.174835266726612,medical marijuana,True,True,False,False,False,jointly-driven
29,-0.82827276818301,-0.9725092912,-0.6874363670000001,0.0,3.409054965741971,5.496805913336309,1.7449779605048603,5.793464804828403,4.7307942354802694,6.373298977252053,military intervention,True,True,False,True,True,persuasiveness-driven
30,-0.134820593045,-0.3968872920000001,0.12475782599999986,0.1975,186.72022523928078,5.642617287057731,53.08781338669983,438.06419962818654,3.8950543921153566,7.833408512399025,minimum wage,True,True,False,False,False,jointly-driven
31,-0.68006499417,-0.8703701285000001,-0.49253662250000013,0.0,9.93678718576883,5.909026927885915,4.410358998639226,18.537577585117162,4.656164784979824,7.3677316817511835,national health care,True,True,False,True,True,persuasiveness-driven
32,-0.046469289395785,-1.307370056,1.2381497608499998,0.4695,10708.627920319419,5.358595628407213,0.17112434733069323,8487.811310485014,0.6080734740957044,17.151224823531226,occupy movement,False,False,False,False,False,indeterminate
33,-0.2834650614706,-0.6679734285000001,0.10526952999999997,0.11175,38.10566111529959,4.184098715650848,4.516583289752298,120.7449956068612,2.550599705318419,6.525351317666831,progressive tax,True,True,False,False,False,jointly-driven
34,-1.0519096977930744,-1.2227317585,-0.884596311005,0.0,0.7732796053858607,5.120622379236729,0.3732642145846524,1.3262287552402658,4.131812167532546,6.26095480577329,racial profiling,False,True,False,True,True,persuasiveness-only
35,-0.46850694984033,-0.938102132,-0.0009707370000000702,0.04975,22.702387147011514,4.441047483013061,1.2376954336107504,86.38614990505161,2.647700136456737,6.940643806784449,redistribution,True,True,False,True,True,persuasiveness-driven
36,-0.28622558460825,-0.5096314135,-0.060025248000000045,0.019,8.415063332391316,2.915214070652457,2.924708271623013,18.259559559432834,2.1795676137272055,3.7775466582147055,smoking ban,True,True,False,True,True,persuasiveness-driven
37,-0.938344052676424,-1.15105087545,-0.7315785640000001,0.0,1.9702410571529867,5.579575785380815,0.8216819995495077,3.8227227418859,4.2683144605248495,7.161455952233744,social programs,False,True,False,True,True,persuasiveness-only
38,-1.0881481289759998,-2.1525122189999997,-0.07044119050000044,0.037,17.19099816828067,11.147788427589555,0.10699960039648461,60.50772642105678,2.317443732613249,30.45517264510957,social security,False,True,False,True,True,persuasiveness-only
39,-0.7202526178375002,-0.9897291275,-0.4523345775000001,0.0,23.71540228435426,8.050256829912206,7.411533914475295,52.52991095752308,5.702867440210773,11.089435065509944,socialism,True,True,False,True,True,persuasiveness-driven
40,-1.0183975297704926,-2.0452611115,-0.030347721500000622,0.04375,59.38842145444568,5.828811012610518,0.007565866875395439,100.17698091616381,2.3028030709702247,12.211017936806543,stimulus spending,False,True,False,True,True,persuasiveness-only
41,0.14045643539355002,-0.4364605755,0.7082130479999993,0.658,320.03506618514075,3.647178926739192,13.753212434450772,1057.2137928991688,1.6234660076550427,7.038796046199164,term limits,True,True,False,False,False,jointly-driven
42,-1.0038450191603692,-1.3436545131,-0.6618216497499999,0.0,1.588149444430428,5.362632496341362,0.23843298178561192,4.712426578200748,3.7887130081234663,7.421890103155532,torture,False,True,False,True,True,persuasiveness-only
43,-0.95703075168156,-1.49877869149,-0.42157931400000037,0.0015,8.515845503509802,8.0621810689302,0.6570955211678869,28.531836027832597,3.903792398931761,14.501292188149662,united nations,False,True,False,True,True,persuasiveness-only
44,-1.5058636752210601,-2.224730824,-0.8033473038500001,0.00025,0.361509271032477,7.373129945494738,0.011333418961941639,1.3469865463319255,2.856746253764932,15.027771906568603,war in afghanistan,False,True,False,True,True,persuasiveness-only
45,-1.4299174731678508,-1.728337715528,-1.1321437695,0.0,1.3824532268134946,11.246687390341078,0.4512654329971903,2.9224134185963426,7.371527178575206,16.415388312654486,war on terror,False,True,False,True,True,persuasiveness-only
46,-0.781178214495,-1.0106599459999999,-0.5639733240000001,0.0,14.19081323066986,7.687595168873324,5.103193045668463,29.2687154534738,5.708619009014867,10.265752070788828,welfare,True,True,False,True,True,persuasiveness-driven
