topic_idx,mean_delta,ci_5,ci_95,p_tau_gt_phi,OR_tau,OR_phi,OR_tau_ci_5,OR_tau_ci_95,OR_phi_ci_5,OR_phi_ci_95,topic,tau_strong,phi_strong,conviction_leads,conviction_clear,conformity_clear,clear_direction,class
21,-1.45287920756,-2.31733632,-0.6231347850000001,0.002,6.403005841739906,28.969955052771287,4.091491152901573,9.507092230980406,13.094687335565311,54.13254198750738,gun rights,True,True,False,False,True,True,conformity-driven
22,0.9467671268986451,-0.49848508,2.4167356014999997,0.854,5.605914290435012,2.451778585293333,2.150642172130197,11.238519024662036,0.6012842509627013,5.93571862450892,homeschooling,False,False,True,False,False,False,indeterminate
23,-0.2672002167341985,-1.4017467815,0.8561078926499988,0.347,1.2051527009563725,1.621404530616155,0.5376911846553223,2.2400940094957495,0.6367920499043178,3.1929967330139313,internet censorship,False,False,False,False,False,False,indeterminate
24,-0.020376438343088006,-2.2253340295000004,2.1443696535,0.50375,1.9114033869065166,2.0174268099634722,0.2763942052496161,5.61919028807943,0.24791520984339085,6.308144740567746,iran-iraq war,False,False,True,False,False,False,indeterminate
25,-0.26660410987773203,-2.264948691,1.742431225999999,0.4165,1.8851149561629765,2.721063057392915,0.38922749147526214,5.000067885836135,0.43696108724069394,7.6506321252627165,labor union,False,False,False,False,False,False,indeterminate
26,2.0880161255770395,0.5016965100000002,3.7015327809999974,0.98375,26.07410872392247,3.4811086820402086,7.708944300834404,59.211913019186674,0.8216057156291504,8.789128739057794,legalized prostitution,True,False,True,True,False,True,conviction-only
27,0.272071409088677,-2.0408720545000003,2.596557631699999,0.56775,2.513394861299491,1.873992242055709,0.3051057601699008,7.73216372537067,0.22133943425870464,5.703930566697248,medicaid & medicare,False,False,True,False,False,False,indeterminate
28,0.6864228520477675,-0.8857501999999998,2.27321512498,0.76575,6.558009263060952,3.6859737756617097,2.187201860729868,14.591331393551087,0.8223227761950386,9.418578927762548,medical marijuana,False,False,True,False,False,False,indeterminate
29,-0.1341055658341,-0.9074966439999999,0.6482988534999999,0.38725,2.710554593170856,3.0820664759866463,1.4640342208073966,4.404932778981594,1.722266881207163,4.978036225930017,military intervention,False,False,False,False,False,False,indeterminate
30,0.08939721465,-1.221189905,1.383511944999999,0.54625,29.00658515183924,27.57458927024572,11.207827209580472,59.34296728411006,9.041760850279399,60.768632127786724,minimum wage,True,True,True,False,False,False,jointly-driven
31,-0.5485116173575,-1.50354126,0.4106947799999994,0.17475,6.8578919880565765,12.298043973264644,3.5647300542371783,11.661688014569764,5.386663060724839,23.2697511396895,national health care,True,True,False,False,False,False,jointly-driven
32,-0.06808379785095249,-2.350905858,2.281263782,0.48125,2.1296886658529677,2.2666308128558224,0.26775240742950823,6.770911689331188,0.26716368049354666,7.281984891742512,occupy movement,False,False,False,False,False,False,indeterminate
33,0.14195179314749998,-1.516117174,1.7593275369999999,0.55925,6.082558588071668,5.5144469968747805,1.7125309488651186,14.470837916102273,1.3212515430823666,13.684269571118797,progressive tax,False,False,True,False,False,False,indeterminate
34,-1.8268619875684835,-2.7313314365,-0.9165318713000001,0.00025,0.7413242141439097,4.782556676323822,0.39700098856168126,1.223344832395327,2.0849308963005195,8.923225705279101,racial profiling,False,False,False,False,True,True,weakly conformity-driven
35,-0.9072876468162548,-2.6750332875050002,0.8644094169999998,0.19075,2.9970369501485803,6.927799462796318,0.5723520152786511,8.221338304006125,1.776072096433834,16.85358144278106,redistribution,False,False,False,False,False,False,indeterminate
36,0.5656517243423775,-0.7527269575000001,1.9141622234999989,0.763,3.8651781961599654,2.4536195523347395,1.6505066791757883,7.466571662907541,0.6758375762130914,5.8898300598936215,smoking ban,False,False,True,False,False,False,indeterminate
37,-1.0274895266637483,-2.0934601510000004,0.07166160049999895,0.06125,1.6703226069510408,4.976548474169674,0.8257656266114791,2.969567811812877,1.7826235402476769,10.342661500223365,social programs,False,False,False,False,False,False,indeterminate
38,-1.0091785613937614,-3.1757168134999993,1.2204152994999997,0.2195,2.085137804486717,5.847521867791391,0.31501906052252077,6.1920615456456085,0.8370753269685806,17.278482672867142,social security,False,False,False,False,False,False,indeterminate
39,0.14548282732749998,-1.047274466,1.3300134544999997,0.58425,10.01240360427334,8.786189406133802,4.03010012443894,19.83730191478577,3.2757174340245374,18.515833913485345,socialism,True,True,True,False,False,False,jointly-driven
40,-0.7003009634399651,-2.8779135924999997,1.5003189031999993,0.29625,1.5002992748658264,2.9262788809826583,0.20142992149699274,4.459184515900862,0.4179105224871944,8.584907717779545,stimulus spending,False,False,False,False,False,False,indeterminate
41,1.459614650420345,-0.5081042505000001,3.3926010419999995,0.89075,9.601484858487435,2.4298324902652686,1.9543819721115583,26.06447332081025,0.37580092365390216,7.175293918850283,term limits,False,False,True,False,False,False,indeterminate
42,-1.2630821978784665,-2.759434587,0.2669051839499991,0.0845,1.2049374337491934,4.304523247718373,0.34236383345150523,2.8265642226710965,1.199610152706448,10.256113224242984,torture,False,False,False,False,False,False,indeterminate
43,0.23377850558651425,-1.5993238669999998,2.1073161068999995,0.57625,3.122793862619912,2.6867361604156876,0.745519721811748,7.85421534297886,0.5047178579486157,7.543775152081216,united nations,False,False,True,False,False,False,indeterminate
44,-0.5398534014120251,-2.506129187,1.380527233199994,0.3265,0.8459980787767681,1.541937027323179,0.1634585137109959,2.283963378759075,0.25486046544674923,4.588183645412037,war in afghanistan,False,False,False,False,False,False,indeterminate
45,-1.1299047570703975,-2.447906173,0.2022975794999998,0.07775,1.2738260815013125,4.371540065389562,0.5523823486195334,2.404583722849719,1.2789080331072746,10.217186580924226,war on terror,False,False,False,False,False,False,indeterminate
46,-0.31104301921775,-1.4213803299999999,0.779906814999999,0.33075,5.830491057071191,8.306280883208252,2.675042289985257,10.700252186282798,3.1714378536339267,17.317294167979167,welfare,False,True,False,False,False,False,conformity-only
